published date,Sentiment
2021-03-31,0.4
2021-04-01,0.8
2021-04-02,0.0
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,0.0
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,0.43333333333333335
2021-04-21,0.0
2021-04-22,
2021-04-23,0.0
2021-04-24,
2021-04-25,
2021-04-26,0.5
2021-04-27,0.5
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,0.2
2021-05-04,
2021-05-05,
2021-05-06,1.0
2021-05-07,
2021-05-08,
2021-05-09,
2021-05-10,
2021-05-11,0.0
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,0.0
2021-05-20,
2021-05-21,
2021-05-22,0.0
2021-05-23,
2021-05-24,0.0
2021-05-25,
2021-05-26,0.0
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,
2021-06-02,0.5681818181818181
2021-06-03,
2021-06-04,0.2852272727272727
2021-06-05,
2021-06-06,
2021-06-07,0.13636363636363635
2021-06-08,0.5
2021-06-09,0.0
2021-06-10,
2021-06-11,0.0
2021-06-12,
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,0.0
2021-06-19,
2021-06-20,
2021-06-21,0.13636363636363635
2021-06-22,
2021-06-23,
2021-06-24,0.4333333333333333
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.3333333333333333
2021-07-01,
2021-07-02,
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,-0.5
2021-07-07,
2021-07-08,
2021-07-09,0.712121212121212
2021-07-10,
2021-07-11,
2021-07-12,0.0
2021-07-13,
2021-07-14,0.16
2021-07-15,
2021-07-16,-0.06666666666666667
2021-07-17,
2021-07-18,0.425
2021-07-19,0.0
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,0.0
2021-07-27,-0.16666666666666666
2021-07-28,0.0
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,
2021-08-02,0.0
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,
2021-08-09,
2021-08-10,-0.18181818181818182
2021-08-11,
2021-08-12,
2021-08-13,0.0
2021-08-14,0.0
2021-08-15,
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,0.275
2021-08-21,
2021-08-22,
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,0.4
2021-08-27,0.0
2021-08-28,
2021-08-29,
2021-08-30,
2021-08-31,
2021-09-01,0.4
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,
2021-09-06,-0.2
2021-09-07,0.0
2021-09-08,
2021-09-09,0.16
2021-09-10,
2021-09-11,
2021-09-12,
2021-09-13,
2021-09-14,
2021-09-15,-0.1
2021-09-16,
2021-09-17,0.3
2021-09-18,
2021-09-19,
2021-09-20,
2021-09-21,0.0
2021-09-22,
2021-09-23,
2021-09-24,-0.25
2021-09-25,
2021-09-26,
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-01,
2021-10-02,
2021-10-03,0.55
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,0.225
2021-10-09,
2021-10-10,
2021-10-11,0.3333333333333333
2021-10-12,-0.125
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-16,
2021-10-17,
2021-10-18,-0.25
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-23,
2021-10-24,
2021-10-25,
2021-10-26,
2021-10-27,0.15
2021-10-28,0.0
2021-10-29,0.3888888888888889
2021-10-30,
2021-10-31,
2021-11-01,
2021-11-02,0.0
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-06,
2021-11-07,
2021-11-08,0.0
2021-11-09,
2021-11-10,0.25
2021-11-11,
2021-11-12,
2021-11-13,
2021-11-14,
2021-11-15,
2021-11-16,
2021-11-17,
2021-11-18,0.20181818181818184
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,0.0
2021-11-27,
2021-11-28,
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,
2021-12-06,0.0
2021-12-07,
2021-12-08,0.0
2021-12-09,
2021-12-10,0.0
2021-12-11,
2021-12-12,
2021-12-13,0.0
2021-12-14,
2021-12-15,
2021-12-16,0.1736111111111111
2021-12-17,
2021-12-18,0.4666666666666666
2021-12-19,0.6
2021-12-20,
2021-12-21,
2021-12-22,0.0
2021-12-23,-0.5
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,0.0
2021-12-29,
2021-12-30,
2021-12-31,0.0
2022-01-01,
2022-01-02,
2022-01-03,0.10416666666666667
2022-01-04,-0.1
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,0.0
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,0.0
2022-01-22,
2022-01-23,0.19318181818181818
2022-01-24,0.6
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.12222222222222223
2022-01-29,0.0
2022-01-30,
2022-01-31,0.5
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,-0.2
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,0.0
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,0.0
2022-02-23,
2022-02-24,
2022-02-25,0.375
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,0.43333333333333335
2022-03-02,
2022-03-03,0.0
2022-03-04,
2022-03-05,
2022-03-06,0.0
2022-03-07,
2022-03-08,0.0
2022-03-09,
2022-03-10,0.19375
2022-03-11,-0.15555555555555559
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,
2022-03-25,0.0875
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,0.4625
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,0.0
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,0.0
2022-04-09,
2022-04-10,0.0
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,0.55
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,-0.16666666666666666
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,0.0
2022-04-29,
2022-04-30,
2022-05-01,
2022-05-02,0.13333333333333333
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-07,
2022-05-08,
2022-05-09,
2022-05-10,
2022-05-11,0.0
2022-05-12,-0.038888888888888896
2022-05-13,-0.5
2022-05-14,
2022-05-15,
2022-05-16,
2022-05-17,0.25
2022-05-18,0.08611111111111111
2022-05-19,0.0
2022-05-20,
2022-05-21,0.55
2022-05-22,0.4
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,0.0
2022-05-27,
2022-05-28,0.8
2022-05-29,
2022-05-30,
2022-05-31,0.4
2022-06-01,
2022-06-02,0.025000000000000015
2022-06-03,
2022-06-04,
2022-06-05,
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,
2022-06-09,0.0
2022-06-10,
2022-06-11,
2022-06-12,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,
2022-06-22,
2022-06-23,
2022-06-24,
2022-06-25,
2022-06-26,
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,
2022-07-06,
2022-07-07,
2022-07-08,
2022-07-09,
2022-07-10,
2022-07-11,
2022-07-12,
