Date,Close,High,Low,Open,Volume
,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN
2021-03-01,35213.3671875,35258.56898918257,34716.12883910672,34716.12883910672,4361529
2021-03-02,35213.3671875,35665.4000282337,34761.3343467663,35665.4000282337,5007752
2021-03-03,35122.96484375,35303.775782019846,34987.35571355323,35258.57397394677,12411100
2021-03-04,34309.30859375,35168.16894498371,33947.67928167499,35122.96713396322,8681714
2021-03-05,34309.30859375,34354.51040477049,33676.46100359651,34128.4939377125,6312162
2021-03-08,34264.1015625,34580.52534359286,34083.29062043095,34354.508886523334,11089304
2021-03-09,33902.47265625,34218.89640639221,33676.456221288034,33902.47265625,8463228
2021-03-10,34490.1171875,35032.55741257609,33902.47515449154,34309.306249792986,5577368
2021-03-11,34670.93359375,34851.74454064889,34399.71161443509,34580.526267311696,4199292
2021-03-12,34580.5234375,34851.74168864272,34490.116118459955,34806.53988211141,4329418
2021-03-15,34580.5234375,35032.55632672281,34399.70879941991,34625.72524403132,3780789
2021-03-16,36614.671875,36840.68832230275,34625.72565634484,34806.54029657802,10852932
2021-03-17,36524.26171875,36840.68546159882,36162.63617234156,36840.68546159882,7486444
2021-03-18,36614.671875,36614.671875,36162.638980394506,36614.671875,4570151
2021-03-19,36072.234375,36388.658166232744,35891.42342713682,36162.64170192046,6135861
2021-03-22,35574.9921875,35981.81951449725,35394.177571516586,35936.617713489875,6453411
2021-03-23,35620.19921875,36162.63944037176,35394.1827685724,35484.59008983894,4896935
2021-03-24,34806.5390625,35665.4030141901,34580.522623210745,35213.37013561159,5852521
2021-03-25,34625.72265625,35032.55370853665,34580.52085309688,35032.55370853665,4943528
2021-03-26,34399.70703125,34716.13077863704,33676.455928060095,34444.91254143513,5609270
2021-03-29,35077.75390625,35303.770323625555,34399.70465412332,34580.51927041455,4270364
2021-03-30,34851.7421875,35258.57327601475,34806.540380321676,35213.371468836434,3594206
2021-03-31,35122.96484375,35303.775782019846,34625.72642505846,34851.74287737892,2980305
2021-04-01,36027.03125,36027.03125,35213.37274935953,35213.37274935953,6613131
2021-04-02,36072.234375,36388.658166232744,36072.234375,36343.45635576138,4179142
2021-04-05,35981.82421875,36388.65530491318,35665.4041583758,36343.45349799614,5787458
2021-04-06,35891.41796875,36162.63620228662,35755.80514600451,35755.80514600451,3426930
2021-04-07,35981.82421875,36027.02973164449,35755.80777220989,35801.013285104375,4314307
2021-04-08,35981.82421875,36433.85711183023,35936.622411832956,36253.0461781846,4470038
2021-04-09,37111.91015625,37518.73753642282,36117.43705030958,36117.43705030958,10462121
2021-04-12,37111.91015625,37247.519282974274,36840.688196824005,37247.519282974274,4448420
2021-04-13,36479.06640625,37157.1158161589,36388.65907706658,37066.70848697548,7218427
2021-04-14,36614.671875,36614.671875,35936.62253309176,36162.638980394506,5311241
2021-04-15,36162.640625,36795.48818861933,36072.23330077186,36614.67354016306,6464745
2021-04-16,36027.03125,36705.08061819666,35620.20014669096,36072.233058822065,5447662
2021-04-19,36840.69140625,36840.69140625,35936.62554135934,36162.642007582006,7452233
2021-04-20,37473.53125,38377.59692806165,36885.88559447833,36976.292903479894,10636249
2021-04-22,36162.640625,37925.570476526984,36162.640625,37066.706455326115,5087927
2021-04-23,37518.73828125,37518.73828125,36027.030445714496,36162.6395751309,6729613
2021-04-26,36614.671875,37428.3303440944,36388.65542769725,37292.72121690824,6540511
2021-04-27,36479.06640625,36795.49020540305,36207.844418699744,36343.45726546379,3803247
2021-04-28,36524.26171875,36750.27814850242,36207.83797590117,36207.83797590117,3626000
2021-04-29,36569.46875,36976.29611689678,36524.26323858214,36524.26323858214,4678030
2021-05-04,37473.53125,37744.749471027695,36162.63453441981,36162.63453441981,7189881
